id;key_name;key_code;label;description
1;tag before ick;as while bitterly;rusty though nautical;hm row
2;provided unexpectedly strictly;singing director however;fooey;indeed duster who
3;that;ah brr unfinished;beneath qua which;fragrant officially
4;unit;round;while of carefully;fooey doing
5;duh ouch;gee;commandeer;gee brief diligent
6;regal midst;lounge yet for;blight furthermore;yum fund
7;that;fooey countess;sideboard;majestic now suburban
8;concerning spark molasses;median;upon;whoa per
9;furthermore but unsung;yum;supposing over;tough
10;infamous someplace;astride boohoo underneath;yieldingly ugh;despite
