id;recipient_emails;cc_emails;subject;message_body;retry_count;max_retries;scheduled_at;sent_at;error_message;created_at;created_by
9d5cafec-54f3-4c14-ab5b-5505cf7bf5c1;uh-huh outlying welcome;dissemble crest;before hence wearily;er smoke;25386;18861;2025-05-13T14:24:40;2025-05-13T21:09:01;shy gladly;2025-05-13T12:19:14;jittery
e1b129da-f661-47e1-9b6c-8c1263fbe526;mozzarella against;hm fairly;providence;fibre voluntarily;19284;9609;2025-05-14T01:21:58;2025-05-13T11:29:46;overcook incidentally lest;2025-05-14T04:10:36;stealthily weatherize gadzooks
a00235a8-dc9e-4058-8f2a-09484d2c2976;woot sans;which;unimpressively;gadzooks please;2562;6618;2025-05-13T11:15:02;2025-05-14T01:31:35;about;2025-05-14T01:01:11;outside roughly
2ca3e5b4-b314-4fea-92df-e8d3fa4613b5;warming;kielbasa jubilantly ham;thin;amused;20121;27504;2025-05-13T20:48:13;2025-05-13T12:45:34;shout galoshes;2025-05-14T02:58:12;boyfriend goose
f775ba93-d551-4e1a-8ac8-b1794bf3191e;or amongst;vaguely er wonderfully;cavernous;determined unlucky;15421;13179;2025-05-13T21:29:06;2025-05-13T11:27:20;what worth;2025-05-14T06:45:22;reconsideration friendly
3c1acaaa-28c4-4426-81cc-924fb56a9347;thigh responsible;via;hourly;frankly fooey quip;25910;1777;2025-05-13T19:36:42;2025-05-14T09:16:31;viciously freely aha;2025-05-14T03:01:31;concerning dampen
195d6d0d-51a7-4d37-a7cb-f7f36c94ee71;hourly gosh versus;by;ugh sans reproachfully;substantial;10329;2670;2025-05-14T01:28:54;2025-05-13T18:23:45;inquisitively;2025-05-13T19:05:50;climb testimonial
798b195e-07cc-4f3d-a8f8-cb3912c913f9;yahoo;owlishly zowie despite;meanwhile toward;after;31220;26077;2025-05-13T11:01:08;2025-05-13T20:42:27;under rudely bump;2025-05-14T09:32:07;now mismatch when
4eb6f2e8-8713-4498-812c-35b1e9956a04;unfortunately yum victoriously;gum unless;apricot who fishery;uh-huh;3844;31168;2025-05-14T03:28:14;2025-05-13T15:53:19;whose;2025-05-13T12:11:11;accept furthermore loftily
0299a33d-0593-4b86-a7b5-29a66e79461d;subtle fundraising self-assured;delightfully edge great;so serenade;through lean;29199;29826;2025-05-13T22:23:04;2025-05-13T18:21:19;anxiously sesame;2025-05-13T14:51:39;ugly
